# Rime user dictionary
#@/db_name	flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1540
#@/user_id	e1402a23-ea17-4701-81c4-c564addc45ce
a 	啊	c=16 d=2.97461 t=1415
aa 	阿	c=1 d=1 t=1028
aik 	唉	c=2 d=1.47711 t=488
anf 	按	c=1 d=1 t=354
anpd 	安排	c=1 d=1 t=1152
anvl 	安装	c=2 d=1.00385 t=1210
b 	不	c=3 d=1.58846 t=1255
ba 	把	c=10 d=4.26174 t=1085
bak 	吧	c=8 d=2.31234 t=1347
bcko 	包括	c=1 d=1 t=1464
bda 	百	c=1 d=1 t=400
bfdi 	本地	c=1 d=1 t=1540
bgpj 	崩盘	c=1 d=1 t=720
bhdk 	绑定	c=3 d=2.9316 t=246
bi 	比	c=5 d=1.17905 t=1412
bihx 	笔画	c=3 d=2.97032 t=1521
bijn 	比较	c=1 d=1 t=808
bip 	币	c=4 d=3.25139 t=511
bite 	比特	c=1 d=1 t=460
bj 	办	c=1 d=1 t=346
bjbf 	版本	c=1 d=1 t=410
bjfa 	办法	c=1 d=1 t=776
bkb 	病	c=1 d=1 t=1365
bmgg 	变更	c=1 d=1 t=108
bmig 	变成	c=1 d=1 t=1009
bmju 	编剧	c=1 d=1 t=1160
bnqm 	标签	c=1 d=1 t=1493
bnvy 	标准	c=1 d=1 t=1535
bp 	别	c=1 d=1 t=893
bprf 	别人	c=1 d=1 t=1289
bu 	部	c=5 d=3.00532 t=37
bua 	不	c=16 d=2.15391 t=1208
bubm 	不变	c=1 d=1 t=1110
buco 	不错	c=2 d=1.03388 t=1164
buda 	不大	c=1 d=1 t=1370
budc 	不到	c=2 d=1.02746 t=1407
budo 	不多	c=2 d=1.38481 t=1421
bugj 	不敢	c=2 d=1.8825 t=495
bugo 	不过	c=4 d=2.44826 t=1379
buhv 	不会	c=3 d=2.02954 t=633
buji 	不急	c=1 d=1 t=751
bupa 	不怕	c=1 d=1 t=53
buru 	不如	c=2 d=1.34819 t=709
butk 	不停	c=1 d=1 t=306
buts 	不同	c=2 d=1.7788 t=1251
buui 	不是	c=6 d=3.02459 t=1203
buvy 	不准	c=1 d=1 t=865
buxk 	不行	c=2 d=1.03405 t=928
buyc 	不要	c=1 d=1 t=901
buzu 	不足	c=1 d=1 t=437
bw 	被	c=3 d=1.02378 t=1180
bwgo 	背锅	c=2 d=1.71892 t=118
bwjk 	北京	c=5 d=2.91679 t=1013
bwk 	呗	c=1 d=1 t=248
c 	才	c=1 d=1 t=1350
cc 	草	c=1 d=1 t=1217
cczo 	操作	c=2 d=1.96079 t=1444
cd 	菜	c=2 d=1.06081 t=856
cda 	才	c=2 d=1.37531 t=1335
cdxk 	才行	c=1 d=1 t=757
cdxt 	才学	c=1 d=1 t=1136
ce 	测	c=1 d=1 t=1094
celt 	策略	c=1 d=1 t=1468
ceui 	测试	c=2 d=1.97045 t=1102
ci 	次	c=1 d=1 t=635
cyi 	存储	c=1 d=1 t=173
cyiu 	存储	c=7 d=1.11818 t=1460
d 	的	c=86 d=14.1274 t=1535
da 	大	c=3 d=1.00957 t=1297
daan 	答案	c=1 d=1 t=415
daf 	打	c=3 d=1.07576 t=1181
dalc 	大佬	c=1 d=1 t=46
dapb 	打拼	c=1 d=1 t=862
dapo 	打破	c=1 d=1 t=956
daxn 	大小	c=1 d=1 t=619
daxt 	大学	c=3 d=2.87888 t=1148
dc 	到	c=4 d=3.52199 t=530
dcdi 	到底	c=1 d=1 t=489
dcz 	道	c=5 d=1.86394 t=1339
dd 	代	c=2 d=1.97045 t=384
ddma 	代码	c=2 d=1.49164 t=273
de 	得	c=1 d=1 t=141
dg 	等	c=2 d=1.04264 t=1473
dh 	当	c=2 d=1.93239 t=958
dhui 	当时	c=3 d=2.95556 t=1390
dier 	第二	c=1 d=1 t=444
difh 	地方	c=2 d=1.00112 t=1403
disj 	第三	c=2 d=1.0302 t=1214
diyi 	第一	c=1 d=1 t=409
djb 	单	c=1 d=1 t=1262
djui 	但是	c=1 d=1 t=541
djzi 	单字	c=2 d=1.19301 t=977
dk 	定	c=2 d=1.40657 t=1284
dkd 	顶	c=1 d=1 t=689
dkj 	钉	c=2 d=1.99501 t=355
dkyi 	定义	c=4 d=3.64787 t=1515
dm 	点	c=12 d=1.87874 t=1360
do 	多	c=6 d=1.40671 t=1307
doda 	多大	c=1 d=1 t=834
doge 	多个	c=3 d=1.79664 t=515
dome 	多么	c=1 d=1 t=1344
douc 	多少	c=3 d=1.45732 t=1225
doyu 	多余	c=1 d=1 t=432
drl 	端	c=3 d=2.73559 t=534
dstd 	动态	c=1 d=1 t=251
dsx 	懂	c=1 d=1 t=13
dsxi 	东西	c=1 d=1 t=982
